gene,pvalues,padj
HOOK2,0.0528223498529882,1
IARS,0.0528223498529882,1
INTS3,0.0528223498529882,1
ISM2,0.0528223498529882,1
JAM3,0.0528223498529882,1
KLF8,0.0528223498529882,1
KLHL3,0.0528223498529882,1
LILRA5,0.0528223498529882,1
LIMK2,0.0528223498529882,1
LRRC31,0.0528223498529882,1
MED25,0.0528223498529882,1
MFSD2A,0.0528223498529882,1
MSLN,0.0528223498529882,1
MUSK,0.0528223498529882,1
NFX1,0.0528223498529882,1
NR5A2,0.0528223498529882,1
NUMBL,0.0528223498529882,1
OR4C13,0.0528223498529882,1
OR7C1,0.0528223498529882,1
OR9G1,0.0528223498529882,1
PANK4,0.0528223498529882,1
PAX2,0.0528223498529882,1
PIP4K2A,0.0528223498529882,1
PIWIL2,0.0528223498529882,1
POTEH,0.0528223498529882,1
PPFIBP1,0.0528223498529882,1
PSAP,0.0528223498529882,1
RALGDS,0.0528223498529882,1
RFX8,0.0528223498529882,1
RPS6KA4,0.0528223498529882,1
SH3RF1,0.0528223498529882,1
SLC2A9,0.0528223498529882,1
SLC4A2,0.0528223498529882,1
SPOCD1,0.0528223498529882,1
STAU2,0.0528223498529882,1
SYNCRIP,0.0528223498529882,1
TAF4,0.0528223498529882,1
TLK1,0.0528223498529882,1
TMEM232,0.0528223498529882,1
TONSL,0.0528223498529882,1
TRIM77,0.0528223498529882,1
TUT1,0.0528223498529882,1
WISP1,0.0528223498529882,1
XK,0.0528223498529882,1
ZFP36L1,0.0528223498529882,1
MCC,0.0551077426178541,1
TMPRSS15,0.0551077426178541,1
WHSC1L1,0.0551077426178541,1
TMPRSS11A,0.0567066076636824,1
CTC1,0.0579247229724418,1
SLFN5,0.0579247229724418,1
NBEA,0.0580586439528176,1
DCHS1,0.0580595566049355,1
MTOR,0.0582762001908186,1
AR,0.0621248173178254,1
ARHGAP33,0.0621248173178254,1
CLSTN1,0.0621248173178254,1
CSPG4,0.0621248173178254,1
MKL1,0.0621248173178254,1
MTTP,0.0621248173178254,1
MVK,0.0621248173178254,1
PARD3B,0.0621248173178254,1
PCDHGA4,0.0621248173178254,1
RXFP3,0.0621248173178254,1
UBE4B,0.0621248173178254,1
ZNF142,0.0621248173178254,1
LOXHD1,0.0624057884784864,1
PLXND1,0.0624057884784864,1
GRM6,0.0644202293142476,1
HCN4,0.0644202293142476,1
TACC2,0.0644202293142476,1
TEP1,0.0644202293142476,1
DNAH2,0.0645474741268186,1
RNF43,0.0647924738217227,1
TP53,0.0659319693246101,1
ALG14,0.0674344811689363,1
ARHGAP11B,0.0674344811689363,1
ARRB1,0.0674344811689363,1
BECN1,0.0674344811689363,1
C12orf43,0.0674344811689363,1
C17orf62,0.0674344811689363,1
CCT8,0.0674344811689363,1
CLRN2,0.0674344811689363,1
CT55,0.0674344811689363,1
CYP2C18,0.0674344811689363,1
DNAJC4,0.0674344811689363,1
E2F4,0.0674344811689363,1
EMG1,0.0674344811689363,1
FAM86B2,0.0674344811689363,1
FCGR1A,0.0674344811689363,1
FGF11,0.0674344811689363,1
FOXC2,0.0674344811689363,1
GOLGA6A,0.0674344811689363,1
GUCA2B,0.0674344811689363,1
HDHD2,0.0674344811689363,1
HIST1H2BF,0.0674344811689363,1
IL17RE,0.0674344811689363,1
KDM4E,0.0674344811689363,1
KIR3DL1,0.0674344811689363,1
KRT78,0.0674344811689363,1
LCE2D,0.0674344811689363,1
LIN28A,0.0674344811689363,1
OR2A42,0.0674344811689363,1
OXTR,0.0674344811689363,1
PCYT2,0.0674344811689363,1
POLL,0.0674344811689363,1
POLR1D,0.0674344811689363,1
RANBP1,0.0674344811689363,1
RBM7,0.0674344811689363,1
SERPINB5,0.0674344811689363,1
SKAP2,0.0674344811689363,1
ST20,0.0674344811689363,1
TCN1,0.0674344811689363,1
TIMP2,0.0674344811689363,1
TMED9,0.0674344811689363,1
TMPRSS11F,0.0674344811689363,1
VPS37D,0.0674344811689363,1
YOD1,0.0674344811689363,1
ZNF684,0.0674344811689363,1
AP4E1,0.0677539536496755,1
APCDD1,0.0677539536496755,1
BEND4,0.0677539536496755,1
CNOT10,0.0677539536496755,1
DYRK4,0.0677539536496755,1
HS3ST4,0.0677539536496755,1
KPNA1,0.0677539536496755,1
MAX,0.0677539536496755,1
NOP9,0.0677539536496755,1
OR4D10,0.0677539536496755,1
SPOPL,0.0677539536496755,1
SSRP1,0.0677539536496755,1
SUSD1,0.0677539536496755,1
USP9Y,0.0677539536496755,1
C5orf42,0.0711622072161088,1
CFAP46,0.0711622072161088,1
MGA,0.0711622072161088,1
ATP2A2,0.0739363606455193,1
C10orf120,0.0739363606455193,1
CASS4,0.0739363606455193,1
CDAN1,0.0739363606455193,1
CENPC,0.0739363606455193,1
CSF3R,0.0739363606455193,1
CUL1,0.0739363606455193,1
ESR1,0.0739363606455193,1
EXT1,0.0739363606455193,1
FAM184A,0.0739363606455193,1
FER,0.0739363606455193,1
GABBR1,0.0739363606455193,1
HSPA2,0.0739363606455193,1
ITIH1,0.0739363606455193,1
KCNC3,0.0739363606455193,1
MAST1,0.0739363606455193,1
MED13L,0.0739363606455193,1
MKRN3,0.0739363606455193,1
NEDD9,0.0739363606455193,1
NRD1,0.0739363606455193,1
OGDHL,0.0739363606455193,1
PELP1,0.0739363606455193,1
PITPNM1,0.0739363606455193,1
PRDM5,0.0739363606455193,1
PTPRN,0.0739363606455193,1
RBM15,0.0739363606455193,1
SBF2,0.0739363606455193,1
SCAF1,0.0739363606455193,1
SMG6,0.0739363606455193,1
SND1,0.0739363606455193,1
SNED1,0.0739363606455193,1
SYDE2,0.0739363606455193,1
TLR9,0.0739363606455193,1
TRIM3,0.0739363606455193,1
ZCCHC2,0.0739363606455193,1
ZFPM2,0.0739363606455193,1
ATG9B,0.0745102936826965,1
BAZ2B,0.0745102936826965,1
BCHE,0.0745102936826965,1
CC2D1A,0.0745102936826965,1
CCSER1,0.0745102936826965,1
COL17A1,0.0745102936826965,1
DGKD,0.0745102936826965,1
FASTKD3,0.0745102936826965,1
GANAB,0.0745102936826965,1
HDAC4,0.0745102936826965,1
KIAA0408,0.0745102936826965,1
NCOA2,0.0745102936826965,1
PKN1,0.0745102936826965,1
SENP6,0.0745102936826965,1
SHROOM2,0.0745102936826965,1
SIM1,0.0745102936826965,1
SLC4A3,0.0745102936826965,1
TIE1,0.0745102936826965,1
TRIM66,0.0745102936826965,1
TTBK1,0.0745102936826965,1
USP19,0.0745102936826965,1
ZMYM3,0.0745102936826965,1
ZMYM4,0.0745102936826965,1
ANK3,0.075521968041209,1
CIC,0.07630589837979,1
EPHA3,0.07630589837979,1
UBR5,0.07630589837979,1
AGBL4,0.0777075484033332,1
DRC1,0.0777075484033332,1
GTF2IRD1,0.0777075484033332,1
MAP3K19,0.0777075484033332,1
TGFBR1,0.0777075484033332,1
TP63,0.0777075484033332,1
CNGB1,0.0785571197177145,1
COL4A6,0.0785571197177145,1
MYO7B,0.0785571197177145,1
SORL1,0.0785571197177145,1
UNC13A,0.0790011813817408,1
DSCAM,0.0791203633605816,1
HUWE1,0.0806244356445408,1
MYO18B,0.0806244356445408,1
NAV2,0.0806244356445408,1
SCN7A,0.0806244356445408,1
ABTB2,0.0821053523302672,1
ACADM,0.0821053523302672,1
ACPT,0.0821053523302672,1
ADGRG5,0.0821053523302672,1
AMACR,0.0821053523302672,1
AMD1,0.0821053523302672,1
ANKRD34B,0.0821053523302672,1
ANKRD49,0.0821053523302672,1
AOAH,0.0821053523302672,1
ARHGAP1,0.0821053523302672,1
ARL6IP6,0.0821053523302672,1
ASPN,0.0821053523302672,1
ASTE1,0.0821053523302672,1
ATG13,0.0821053523302672,1
ATG5,0.0821053523302672,1
BAG4,0.0821053523302672,1
BCL10,0.0821053523302672,1
BCL2L11,0.0821053523302672,1
BRMS1L,0.0821053523302672,1
BST1,0.0821053523302672,1
C16orf59,0.0821053523302672,1
C16orf89,0.0821053523302672,1
C5AR2,0.0821053523302672,1
CD2AP,0.0821053523302672,1
CD38,0.0821053523302672,1
CDCA4,0.0821053523302672,1
CEACAM6,0.0821053523302672,1
CEP76,0.0821053523302672,1
CEP85,0.0821053523302672,1
CLPP,0.0821053523302672,1
CSGALNACT1,0.0821053523302672,1
CTNNAL1,0.0821053523302672,1
CUEDC1,0.0821053523302672,1
CYGB,0.0821053523302672,1
CYP2W1,0.0821053523302672,1
DAGLB,0.0821053523302672,1
DAPK3,0.0821053523302672,1
DCAF4,0.0821053523302672,1
DDIT3,0.0821053523302672,1
DEPDC4,0.0821053523302672,1
DKK3,0.0821053523302672,1
DLK2,0.0821053523302672,1
DNAJC5G,0.0821053523302672,1
DNASE1L2,0.0821053523302672,1
DRGX,0.0821053523302672,1
DSCR3,0.0821053523302672,1
DTX3,0.0821053523302672,1
E2F3,0.0821053523302672,1
EDA2R,0.0821053523302672,1
EED,0.0821053523302672,1
EIF4H,0.0821053523302672,1
FAAH2,0.0821053523302672,1
FAHD2A,0.0821053523302672,1
FAIM3,0.0821053523302672,1
FAM13B,0.0821053523302672,1
FAM187B,0.0821053523302672,1
FAM53C,0.0821053523302672,1
FAM71E1,0.0821053523302672,1
FBXL21,0.0821053523302672,1
FBXO28,0.0821053523302672,1
FBXO48,0.0821053523302672,1
FBXO7,0.0821053523302672,1
FCAR,0.0821053523302672,1
FEN1,0.0821053523302672,1
FIBP,0.0821053523302672,1
GAS8,0.0821053523302672,1
GDAP1L1,0.0821053523302672,1
GFI1,0.0821053523302672,1
GINS3,0.0821053523302672,1
GLYATL1,0.0821053523302672,1
GMDS,0.0821053523302672,1
GPR108,0.0821053523302672,1
GPR146,0.0821053523302672,1
GPRC5B,0.0821053523302672,1
GTF3A,0.0821053523302672,1
HACD3,0.0821053523302672,1
HCRTR1,0.0821053523302672,1
HHLA2,0.0821053523302672,1
HIST1H1B,0.0821053523302672,1
HOXB2,0.0821053523302672,1
HOXD13,0.0821053523302672,1
HOXD9,0.0821053523302672,1
HSPA12B,0.0821053523302672,1
IL1B,0.0821053523302672,1
IL7,0.0821053523302672,1
IMPA1,0.0821053523302672,1
KBTBD8,0.0821053523302672,1
KIAA1715,0.0821053523302672,1
KLHL42,0.0821053523302672,1
KPTN,0.0821053523302672,1
LACTB2,0.0821053523302672,1
LDHB,0.0821053523302672,1
LGALS9B,0.0821053523302672,1
LY6K,0.0821053523302672,1
MACROD1,0.0821053523302672,1
MDH2,0.0821053523302672,1
MGAT4A,0.0821053523302672,1
MIPOL1,0.0821053523302672,1
MMP14,0.0821053523302672,1
MSS51,0.0821053523302672,1
MTFR2,0.0821053523302672,1
NARS,0.0821053523302672,1
NBPF3,0.0821053523302672,1
NCAPH2,0.0821053523302672,1
NCKIPSD,0.0821053523302672,1
NFKBIZ,0.0821053523302672,1
